array,site,long,lat,buffer_dist,start_date,end_date,camera_failure_details,deployment_id,ndvi
LU21,LU21_107,-111.93458,56.56608,50,2022-09-20,2023-09-25,NA,NA,0.6719812500000001
LU21,LU21_41,-111.90783,56.66848,50,2022-09-20,2023-09-25,NA,NA,0.6952145833333334
LU21,LU21_63,-111.96630999999999,56.60868,50,2022-09-20,2023-06-07,NA,NA,0.637275
LU21,LU21_27,-112.14841,56.62148,50,2022-09-20,2023-09-25,NA,NA,0.66805625
LU21,LU21_23,-112.20293,56.59241000000001,50,2022-09-20,2023-09-25,NA,NA,0.6726708333333333
LU21,LU21_21,-112.1497,56.566300000000005,50,2022-09-20,2023-09-25,NA,NA,0.68934375
LU21,LU21_82,-112.16532999999998,56.529900000000005,50,2022-09-20,2023-09-25,NA,NA,0.6771166666666667
LU21,LU21_871,-112.09488,56.55634,50,2022-09-20,2023-09-25,NA,NA,0.76705
LU21,LU21_164,-111.93586,56.61886,50,2022-09-20,2023-09-25,NA,NA,0.5969979166666667
LU21,LU21_36,-111.94768000000002,56.64851000000001,50,2022-09-20,2023-09-25,NA,NA,0.6285208333333333
LU21,LU21_14,-112.09007,56.61864,50,2022-09-20,2023-09-25,NA,NA,0.6859916666666668
LU21,LU21_32,-112.16299,56.638760000000005,50,2022-09-20,2023-09-25,NA,NA,0.6757416666666667
LU21,LU21_126,-112.17958,56.62290000000001,50,2022-09-20,2023-09-25,NA,NA,0.6792354166666668
LU21,LU21_122,-112.17445,56.57432,50,2022-09-20,2023-09-25,NA,NA,0.6784291666666667
LU21,LU21_56,-112.187,56.55825,50,2022-09-20,2023-09-25,NA,NA,0.7081052083333333
LU21,LU21_57,-112.14105,56.56273000000001,50,2022-09-20,2023-09-25,NA,NA,0.6946281249999999
LU21,LU21_9,-112.06113,56.58638,50,2022-09-20,2023-09-25,NA,NA,0.6760937499999999
LU21,LU21_98,-111.87949,56.51305,50,2022-09-20,2023-09-25,NA,NA,0.7087052083333334
LU21,LU21_119,-112.000478,56.57495,50,2022-09-20,2023-10-02,NA,NA,0.7176854166666667
LU21,LU21_52,-111.93567,56.53988,50,2022-09-20,2023-09-25,NA,NA,0.7071937500000001
LU21,LU21_59,-111.58272999999998,56.56464,50,2022-09-17,2023-10-02,NA,NA,0.6495958333333334
LU21,LU21_68,-111.71055,56.63286,50,2022-09-17,2023-10-02,NA,NA,0.7166927083333334
LU21,LU21_109,-111.90173,56.56289,50,2022-09-17,2023-09-25,NA,NA,0.7274791666666667
LU21,LU21_93,-111.84483,56.56624,50,2022-09-17,2023-10-02,NA,NA,0.713734375
LU21,LU21_114,-111.73336,56.55014,50,2022-09-17,2023-10-02,NA,NA,0.7329187500000001
LU21,LU21_105,-111.68693,56.55542,50,2022-09-17,2023-10-02,NA,NA,0.7154083333333333
LU21,LU21_100,-111.90392,56.53842,50,2022-09-17,2023-09-25,NA,NA,0.7248145833333334
LU21,LU21_74,-111.86436,56.51803,50,2022-09-17,2023-09-25,NA,NA,0.6852041666666667
LU21,LU21_78,-111.82865,56.52056,50,2022-09-17,2023-10-02,NA,NA,0.6752687500000001
LU21,LU21_153,-111.78557,56.550459999999994,50,2022-09-17,2023-10-02,NA,NA,0.7044260416666668
LU21,LU21_6,-111.67987999999998,56.519659999999995,50,2022-09-17,2023-10-02,NA,NA,0.7487333333333334
LU21,LU21_116,-111.63882999999998,56.55143999999999,50,2022-09-17,2023-10-02,NA,NA,0.6803302083333334
LU21,LU21_97,-111.59377,56.57623,50,2022-09-17,2023-10-02,NA,NA,0.6746020833333333
LU1,LU1_13,-110.72349,54.60634,50,2022-06-13,2023-09-10,NA,NA,0.73251875
LU1,LU1_30,-110.82258,54.73432,50,2022-06-13,2023-09-10,NA,NA,0.6821770833333334
LU1,LU1_85,-110.71049,54.73971000000001,50,2022-06-13,2023-05-25,NA,NA,0.7403583333333333
LU1,LU1_66,-110.72408,54.70777,50,2022-06-14,2023-09-10,NA,NA,0.6988947916666668
LU1,LU1_76,-110.70893,54.70008,50,2022-06-14,2022-12-26,NA,NA,0.6629666666666667
LU1,LU1_73,-110.70935,54.675050000000006,50,2022-06-14,2023-09-10,NA,NA,0.6750645833333333
LU1,LU1_75,-110.69173,54.68616,50,2022-06-14,2023-09-10,NA,NA,0.70784375
LU1,LU1_47,-110.48721000000002,54.617839999999994,50,2022-06-15,2023-09-09,NA,NA,0.6077114583333334
LU1,LU1_74,-110.26517,54.66743,50,2022-06-15,2023-09-10,NA,NA,0.74514375
LU1,LU1_44,-110.47691,54.59921000000001,50,2022-06-15,2023-09-09,NA,NA,0.5927479166666667
LU1,LU1_41,-110.29359,54.594100000000005,50,2022-06-15,2023-09-10,NA,NA,0.7339291666666667
LU1,LU1_64,-110.31862,54.69595000000001,50,2022-06-16,2023-09-09,NA,NA,0.6748000000000001
LU1,LU1_86,-110.34254,54.73745,50,2022-06-16,2023-07-27,NA,NA,0.6756645833333333
LU1,LU1_79,-110.33426,54.703970000000005,50,2022-06-16,2023-09-09,NA,NA,0.63546875
LU1,LU1_63,-110.38139,54.69512000000001,50,2022-06-16,2022-12-05,NA,NA,0.6561416666666667
LU1,LU1_72,-110.41977,54.65901,50,2022-06-16,2022-09-22,NA,NA,0.6821645833333333
LU1,LU1_67,-110.55328,54.75274,50,2022-06-16,2023-09-09,NA,NA,0.7238416666666667
LU1,LU1_77,-110.53466000000002,54.700920000000004,50,2022-06-16,2022-09-22,NA,NA,0.53125625
LU1,LU1_32,-110.54806,54.74266,50,2022-06-16,2023-09-09,NA,NA,0.6671
LU1,LU1_36,-110.53843,54.72431000000001,50,2022-06-16,2023-09-09,NA,NA,0.711653125
LU1,LU1_84,-110.50404,54.72892000000001,50,2022-06-16,2023-09-09,NA,NA,0.7167604166666667
LU1,LU1_25,-110.549,54.692400000000006,50,2022-06-17,2023-09-09,NA,NA,0.6283937500000001
LU1,LU1_83,-110.54852,54.73326,50,2022-06-17,2023-09-09,NA,NA,0.6708437500000001
LU1,LU1_80,-110.54085,54.71254,50,2022-06-17,2023-09-09,NA,NA,0.6432125000000001
LU1,LU1_70,-110.56893,54.60699,50,2022-06-17,2023-04-11,NA,NA,0.7012458333333333
LU1,LU1_48,-110.40762000000002,54.60776,50,2022-06-17,2023-09-09,NA,NA,0.7054854166666666
LU1,LU1_45,-110.37065,54.59816000000001,50,2022-06-17,2023-09-09,NA,NA,0.6863166666666667
LU1,LU1_11,-110.48226,54.588892,50,2022-06-17,2023-09-09,NA,NA,0.561675
LU1,LU1_40,-110.57063,54.58176,50,2022-06-17,2023-08-24,NA,NA,0.7274364583333335
LU1,LU1_6,-110.60829,54.56253000000001,50,2022-06-17,2023-09-10,NA,NA,0.7604770833333333
LU1,LU1_10,-110.60129,54.58592,50,2022-06-17,2022-12-05,NA,NA,0.7489652777777778
LU1,LU1_43,-110.51104,54.608610000000006,50,2022-06-18,2023-09-09,NA,NA,0.6281734375000001
LU1,LU1_71,-110.50838,54.63866,50,2022-06-18,2023-09-09,NA,NA,0.6424729166666667
LU1,LU1_22,-110.48788,54.65007,50,2022-06-18,2023-09-09,NA,NA,0.6289687500000001
LU1,LU1_60,-110.50311,54.690430000000006,50,2022-06-18,2023-09-09,NA,NA,0.6486229166666667
LU1,LU1_78,-110.37037999999998,54.69755000000001,50,2022-06-18,2023-09-09,NA,NA,0.6481229166666668
