array,site,long,lat,easting_12n,northing_12n,start_date,end_date,camera_failure_details,deployment_id,array_visit
LU13,LU13_33,-111.33516999999999,57.0561,479669.8288322192,6323680.641388611,2022-09-16,2023-09-24,NA,NA,LU13_2022
LU13,LU13_32,-111.34759000000001,57.04958,478912.7864094643,6322958.631600377,2022-09-16,2023-09-24,NA,NA,LU13_2022
LU13,LU13_30,-111.36054,57.04375,478123.7272529245,6322313.737581318,2022-09-16,2023-09-24,NA,NA,LU13_2022
LU13,LU13_53,-111.26450000000001,57.11683,483982.5942887108,6330422.06073381,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_22,-111.12086,57.17485,492692.4812117806,6336856.156385674,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_19,-111.13,57.163340000000005,492137.4099684517,6335575.900099875,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_45,-111.14605,57.1554,491164.79037309525,6334693.999751847,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_8,-111.17169,57.14077,489609.61559520557,6333069.034034191,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_43,-111.15834999999998,57.14806,490418.8126757553,6333878.587190207,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_41,-111.18623,57.13169,488726.921400142,6332060.579590536,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_59,-111.25407,57.12108,484615.9670030699,6330892.7576912735,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_6,-111.21960000000001,57.12073000000001,486703.0083957579,6330846.551176109,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_14,-111.19257999999999,57.123020000000004,488339.8123069894,6331096.525420971,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_52,-111.41942000000002,57.11729,474601.4282416654,6330520.287483885,2022-09-15,2023-09-27,NA,NA,LU13_2022
LU13,LU13_36,-111.38155,57.12073000000001,476896.82666234055,6330889.754647152,2022-09-15,2023-09-27,NA,NA,LU13_2022
LU13,LU13_38,-111.35448,57.11777,478534.21702451044,6330551.415765374,2022-09-15,2023-09-27,NA,NA,LU13_2022
LU13,LU13_20,-111.10409,57.1806,493707.4169632783,6337494.564737168,2022-09-14,2023-09-24,NA,NA,LU13_2022
LU13,LU13_17,-111.10896,57.16414,493410.0815294281,6335662.725005699,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_56,-111.10345,57.152100000000004,493741.2939270289,6334321.936245136,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_49,-111.07793,57.193340000000006,495290.49574898084,6338910.653045533,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_70,-111.05211,57.19792,496851.2522681376,6339419.00489534,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU13,LU13_11,-111.04179,57.17275000000001,497473.12089306954,6336616.685389035,2022-09-15,2023-09-24,NA,NA,LU13_2022
LU15,LU15_44,-112.87607999999999,56.212650000000004,383644.1967974084,6231330.82566303,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_11,-112.83254,56.212140000000005,386342.71401509346,6231201.422951982,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_19,-112.85681,56.2124,384838.4259052674,6231270.64182791,2022-09-13,2023-09-11,NA,NA,LU15_2022
LU15,LU15_7,-112.98846,56.2118,376672.61732752214,6231431.643172883,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_34,-112.99898,56.1777,375910.20354111807,6227656.0379533665,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_37,-112.86945,56.1802,383957.40160727943,6227708.671682663,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_18,-112.93424000000002,56.21154,380034.120252682,6231307.015188408,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_43,-112.89617,56.21047,382391.6986376757,6231122.337027976,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_10,-112.91250000000001,56.21595000000001,381395.91071771376,6231760.122069757,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_58,-112.91390000000001,56.22151000000001,381326.2859146924,6232381.235544913,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_8,-112.80639199999999,56.215085,387972.8418194661,6231486.332417059,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_12,-112.82142,56.179370000000006,386935.94673362625,6227536.514374171,2022-09-13,2022-11-17,NA,NA,LU15_2022
LU15,LU15_17,-112.74088,56.1792,391934.3650670384,6227388.450767236,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_1,-113.01591,56.13297000000001,374713.9036239059,6222709.350921845,2022-09-13,2023-09-13,NA,NA,LU15_2022
LU15,LU15_26,-113.00198,56.13686,375592.06429534184,6223116.995745056,2022-09-13,2023-09-13,NA,NA,LU15_2022
LU15,LU15_27,-112.9838,56.137679999999996,376724.2666191504,6223175.602775043,2022-09-13,2023-09-13,NA,NA,LU15_2022
LU15,LU15_28,-112.94679000000001,56.13708,379021.88992029266,6223043.315520902,2022-09-13,2023-09-13,NA,NA,LU15_2022
LU15,LU15_2,-112.92681,56.134530000000005,380255.38929692,6222724.702334563,2022-09-13,2023-09-13,NA,NA,LU15_2022
LU15,LU15_29,-112.91135000000001,56.13785,381226.27696692484,6223067.412171774,2022-09-13,2023-09-13,NA,NA,LU15_2022
LU15,LU15_30,-112.88976,56.138250000000006,382568.94125089975,6223074.95990311,2022-09-13,2023-09-13,NA,NA,LU15_2022
LU15,LU15_31,-112.87376999999998,56.138200000000005,383562.2855690564,6223042.291356101,2022-09-13,2023-09-13,NA,NA,LU15_2022
LU15,LU15_32,-112.85918,56.1378,384467.600225394,6222973.249768891,2022-09-13,2023-09-13,NA,NA,LU15_2022
LU15,LU15_20,-113.06107,56.21454,372179.07888247794,6231868.831640249,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_21,-113.01251,56.217110000000005,375198.4878545134,6232065.807939357,2022-09-13,2023-09-12,NA,NA,LU15_2022
LU15,LU15_23,-113.05704,56.20251000000001,372389.00771009346,6230522.741561345,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_41,-113.05862,56.19308,372259.664578309,6229476.358393606,2022-09-12,2023-09-12,NA,NA,LU15_2022
LU15,LU15_25,-112.96203,56.21123,378309.7953091972,6231321.237305047,2022-09-12,2023-09-12,NA,NA,LU15_2022
