array,site,buffer_dist,array_visit,ndvi
LU21,LU21_9,50,LU21_2022,0.6760937499999999
LU21,LU21_98,50,LU21_2022,0.7087052083333334
LU21,LU21_119,50,LU21_2022,0.7176854166666667
LU21,LU21_52,50,LU21_2022,0.7071937500000001
LU21,LU21_59,50,LU21_2022,0.6495958333333334
LU21,LU21_68,50,LU21_2022,0.7166927083333334
LU21,LU21_109,50,LU21_2022,0.7274791666666667
LU21,LU21_93,50,LU21_2022,0.713734375
LU21,LU21_114,50,LU21_2022,0.7329187500000001
LU21,LU21_105,50,LU21_2022,0.7154083333333333
LU21,LU21_100,50,LU21_2022,0.7248145833333334
LU21,LU21_74,50,LU21_2022,0.6852041666666667
LU21,LU21_78,50,LU21_2022,0.6752687500000001
LU21,LU21_153,50,LU21_2022,0.7044260416666668
LU21,LU21_6,50,LU21_2022,0.7487333333333334
LU21,LU21_116,50,LU21_2022,0.6803302083333334
LU21,LU21_97,50,LU21_2022,0.6746020833333333
LU1,LU1_13,50,LU1_2022,0.73251875
LU1,LU1_30,50,LU1_2022,0.6821770833333334
LU1,LU1_85,50,LU1_2022,0.7403583333333333
LU1,LU1_66,50,LU1_2022,0.6988947916666668
LU1,LU1_76,50,LU1_2022,0.6629666666666667
LU1,LU1_73,50,LU1_2022,0.6750645833333333
LU1,LU1_75,50,LU1_2022,0.70784375
LU1,LU1_47,50,LU1_2022,0.6077114583333334
LU1,LU1_74,50,LU1_2022,0.74514375
LU1,LU1_44,50,LU1_2022,0.5927479166666667
LU1,LU1_41,50,LU1_2022,0.7339291666666667
LU1,LU1_64,50,LU1_2022,0.6748000000000001
LU1,LU1_86,50,LU1_2022,0.6756645833333333
LU1,LU1_79,50,LU1_2022,0.63546875
LU1,LU1_63,50,LU1_2022,0.6561416666666667
LU1,LU1_72,50,LU1_2022,0.6821645833333333
LU1,LU1_67,50,LU1_2022,0.7238416666666667
LU1,LU1_77,50,LU1_2022,0.53125625
LU1,LU1_32,50,LU1_2022,0.6671
LU1,LU1_36,50,LU1_2022,0.711653125
LU1,LU1_84,50,LU1_2022,0.7167604166666667
LU1,LU1_25,50,LU1_2022,0.6283937500000001
LU1,LU1_83,50,LU1_2022,0.6708437500000001
LU1,LU1_80,50,LU1_2022,0.6432125000000001
LU1,LU1_70,50,LU1_2022,0.7012458333333333
LU1,LU1_48,50,LU1_2022,0.7054854166666666
LU1,LU1_45,50,LU1_2022,0.6863166666666667
